caldate,tr,var
1/2/01,30,-53
1/3/01,39,-48
1/4/01,31,-56
1/5/01,40,-51
1/8/01,22,-48
1/9/01,9,-50
1/10/01,31,-48
1/11/01,34,-49
1/12/01,25,-50
1/16/01,17,-45
1/17/01,16,-44
1/18/01,34,-43
1/19/01,21,-45
1/22/01,18,-42
1/23/01,18,-47
1/24/01,5,-44
1/25/01,0,-47
1/26/01,18,-45
1/29/01,31,-45
1/30/01,33,-45
1/31/01,41,-42
2/1/01,9,-46
2/2/01,7,-49
2/5/01,29,-49
2/6/01,25,-48
2/7/01,15,-49
2/8/01,24,-48
2/9/01,13,-47
2/12/01,20,-46
2/13/01,-2,-46
2/14/01,20,-48
2/15/01,6,-52
2/16/01,21,-50
2/19/01,12,-47
2/20/01,24,-47
2/21/01,19,-47
2/22/01,17,-48
2/23/01,19,-47
2/26/01,13,-46
2/27/01,10,-46
2/28/01,12,-53
3/1/01,29,-55
3/2/01,29,-53
3/5/01,20,-56
3/6/01,11,-56
3/7/01,16,-56
3/8/01,11,-57
3/9/01,20,-57
3/12/01,27,-57
3/13/01,29,-59
3/14/01,11,-60
3/15/01,11,-57
3/16/01,24,-56
3/19/01,19,-56
3/20/01,21,-56
3/21/01,21,-54
3/22/01,29,-54
3/23/01,19,-54
3/26/01,1,-55
3/27/01,28,-58
3/28/01,28,-55
3/29/01,18,-56
3/30/01,40,-58
4/2/01,13,-58
4/3/01,17,-57
4/4/01,22,-58
4/5/01,3,-58
4/6/01,14,-58
4/9/01,7,-58
4/10/01,-22,-61
4/11/01,-4,-62
4/12/01,4,-61
4/13/01,-32,-60
4/16/01,15,-64
4/17/01,49,-63
4/18/01,16,-62
4/19/01,20,-59
4/20/01,24,-60
4/23/01,27,-60
4/24/01,11,-58
4/25/01,14,-58
4/26/01,11,-59
4/27/01,26,-64
4/30/01,13,-64
5/1/01,1,-65
5/2/01,11,-70
5/3/01,25,-69
5/4/01,6,-63
5/7/01,16,-66
5/8/01,18,-66
5/9/01,22,-61
5/10/01,-7,-70
5/11/01,16,-62
5/14/01,18,-60
5/15/01,26,-62
5/16/01,-8,-59
5/17/01,7,-58
5/18/01,11,-60
5/21/01,20,-61
5/22/01,27,-64
5/23/01,5,-60
5/24/01,29,-63
5/25/01,11,-67
5/29/01,29,-67
5/30/01,25,-67
5/31/01,23,-64
6/1/01,5,-62
6/4/01,28,-65
6/5/01,8,-57
6/6/01,27,-60
6/7/01,17,-66
6/8/01,-7,-59
6/11/01,14,-58
6/12/01,3,-58
6/13/01,7,-57
6/14/01,19,-60
6/15/01,15,-62
6/18/01,7,-62
6/19/01,16,-60
6/20/01,17,-61
6/21/01,37,-54
6/22/01,26,-54
6/25/01,33,-58
6/26/01,12,-58
6/27/01,60,-63
6/28/01,67,-64
6/29/01,26,-59
7/2/01,-12,-55
7/3/01,15,-53
7/5/01,9,-50
7/6/01,20,-54
7/9/01,2,-53
7/10/01,13,-53
7/11/01,26,-56
7/12/01,7,-52
7/13/01,28,-64
7/16/01,9,-60
7/17/01,11,-60
7/18/01,35,-60
7/19/01,18,-62
7/20/01,25,-62
7/23/01,14,-61
7/24/01,30,-62
7/25/01,16,-63
7/26/01,26,-64
7/27/01,50,-55
7/30/01,19,-58
7/31/01,8,-57
8/1/01,29,-57
8/2/01,31,-57
8/3/01,1,-59
8/6/01,18,-57
8/7/01,4,-56
8/8/01,19,-59
8/9/01,11,-59
8/10/01,16,-51
8/13/01,12,-47
8/14/01,-2,-47
8/15/01,3,-51
8/16/01,8,-51
8/17/01,30,-51
8/20/01,5,-50
8/21/01,29,-48
8/22/01,25,-50
8/23/01,5,-48
8/24/01,11,-49
8/27/01,11,-51
8/28/01,20,-52
8/29/01,1,-49
8/30/01,30,-51
8/31/01,30,-50
9/4/01,28,-48
9/5/01,10,-49
9/6/01,-9,-47
9/7/01,2,-47
9/10/01,-3,-47
9/17/01,-57,-52
9/18/01,34,-48
9/19/01,-2,-50
9/20/01,34,-49
9/21/01,42,-48
9/24/01,3,-47
9/25/01,25,-48
9/26/01,7,-45
9/27/01,20,-47
9/28/01,16,-48
10/1/01,15,-50
10/2/01,61,-49
10/3/01,29,-49
10/4/01,14,-48
10/5/01,20,-48
10/8/01,26,-52
10/9/01,-13,-49
10/10/01,28,-49
