div,stock,dates
0.495,7.09,1933m1
0.49,6.25,1933m2
0.485,6.23,1933m3
0.48,6.89,1933m4
0.475,8.87,1933m5
0.47,10.39,1933m6
0.465,11.23,1933m7
0.46,10.67,1933m8
0.455,10.58,1933m9
0.45,9.55,1933m10
0.445,9.78,1933m11
0.44,9.97,1933m12
0.4408,10.54,1934m1
0.4417,11.32,1934m2
0.4425,10.74,1934m3
0.4433,10.92,1934m4
0.4442,9.81,1934m5
0.445,9.94,1934m6
0.4458,9.47,1934m7
0.4467,9.1,1934m8
0.4475,8.88,1934m9
0.4483,8.95,1934m10
0.4492,9.2,1934m11
0.45,9.26,1934m12
0.45,9.26,1935m1
0.45,8.98,1935m2
0.45,8.41,1935m3
0.446667,9.04,1935m4
0.443333,9.75,1935m5
0.44,10.12,1935m6
0.44,10.65,1935m7
0.44,11.37,1935m8
0.44,11.61,1935m9
0.45,11.92,1935m10
0.46,13.04,1935m11
0.47,13.04,1935m12
0.48,13.76,1936m1
0.49,14.55,1936m2
0.5,14.86,1936m3
0.516667,14.88,1936m4
0.533333,14.09,1936m5
0.55,14.69,1936m6
0.57,15.56,1936m7
0.59,15.87,1936m8
0.61,16.05,1936m9
0.646667,16.89,1936m10
0.683333,17.36,1936m11
0.72,17.06,1936m12
0.73,17.59,1937m1
0.74,18.11,1937m2
0.75,18.09,1937m3
0.78,17.01,1937m4
0.81,16.25,1937m5
0.84,15.64,1937m6
0.816667,16.57,1937m7
0.793333,16.74,1937m8
0.77,14.37,1937m9
0.78,12.28,1937m10
0.79,11.2,1937m11
0.8,11.02,1937m12
0.793333,11.31,1938m1
0.786667,11.04,1938m2
0.78,10.31,1938m3
0.766667,9.89,1938m4
0.753333,9.98,1938m5
0.74,10.21,1938m6
0.713333,12.24,1938m7
0.686667,12.31,1938m8
0.66,11.75,1938m9
0.61,13.06,1938m10
0.56,13.07,1938m11
0.51,12.69,1938m12
0.513333,12.5,1939m1
0.516667,12.4,1939m2
0.52,12.39,1939m3
0.523333,10.83,1939m4
0.526667,11.23,1939m5
0.53,11.43,1939m6
0.54,11.71,1939m7
0.55,11.54,1939m8
0.56,12.77,1939m9
0.58,12.9,1939m10
0.6,12.67,1939m11
0.62,12.37,1939m12
0.623333,12.3,1940m1
0.626667,12.22,1940m2
0.63,12.15,1940m3
0.636667,12.27,1940m4
0.643333,10.58,1940m5
0.65,9.67,1940m6
0.656667,9.99,1940m7
0.663333,10.2,1940m8
0.67,10.63,1940m9
0.67,10.73,1940m10
0.67,10.98,1940m11
0.67,10.53,1940m12
0.673333,10.55,1941m1
0.676667,9.89,1941m2
0.68,9.95,1941m3
0.683333,9.64,1941m4
0.686667,9.43,1941m5
0.69,9.76,1941m6
0.693333,10.26,1941m7
0.696667,10.21,1941m8
0.7,10.24,1941m9
0.703333,9.83,1941m10
0.706667,9.37,1941m11
0.71,8.76,1941m12
0.703333,8.93,1942m1
0.696667,8.65,1942m2
0.69,8.18,1942m3
0.68,7.84,1942m4
0.67,7.93,1942m5
0.66,8.33,1942m6
0.646667,8.64,1942m7
0.633333,8.59,1942m8
0.62,8.68,1942m9
0.61,9.32,1942m10
0.6,9.47,1942m11
0.59,9.52,1942m12
0.59,10.09,1943m1
0.59,10.69,1943m2
0.59,11.07,1943m3
0.59,11.44,1943m4
0.59,11.89,1943m5
0.59,12.1,1943m6
0.593333,12.35,1943m7
0.596667,11.74,1943m8
0.6,11.99,1943m9
0.603333,11.88,1943m10
0.606667,11.33,1943m11
0.61,11.48,1943m12
0.613333,11.85,1944m1
0.616667,11.77,1944m2
0.62,12.1,1944m3
0.623333,11.89,1944m4
0.626667,12.1,1944m5
0.63,12.67,1944m6
0.633333,13,1944m7
0.636667,12.81,1944m8
0.64,12.6,1944m9
0.64,12.91,1944m10
0.64,12.82,1944m11
0.64,13.1,1944m12
0.643333,13.49,1945m1
0.646667,13.94,1945m2
0.65,13.93,1945m3
0.65,14.28,1945m4
0.65,14.82,1945m5
0.65,15.09,1945m6
0.653333,14.78,1945m7
0.656667,14.83,1945m8
0.66,15.84,1945m9
0.66,16.5,1945m10
0.66,17.04,1945m11
0.66,17.33,1945m12
0.666667,18.02,1946m1
0.673333,18.07,1946m2
0.68,17.53,1946m3
0.68,18.66,1946m4
0.68,18.7,1946m5
0.68,18.58,1946m6
0.683333,18.05,1946m7
0.686667,17.7,1946m8
0.69,15.09,1946m9
0.696667,14.75,1946m10
0.703333,14.69,1946m11
0.71,15.13,1946m12
0.713333,15.21,1947m1
0.716667,15.8,1947m2
0.72,15.16,1947m3
0.733333,14.6,1947m4
0.746667,14.34,1947m5
0.76,14.84,1947m6
0.77,15.77,1947m7
0.78,15.46,1947m8
0.79,15.06,1947m9
0.806667,15.45,1947m10
0.823333,15.27,1947m11
0.84,15.03,1947m12
0.843333,14.83,1948m1
0.846667,14.1,1948m2
0.85,14.3,1948m3
0.85,15.4,1948m4
0.85,16.15,1948m5
0.85,16.82,1948m6
0.856667,16.42,1948m7
0.863333,15.94,1948m8
0.87,15.76,1948m9
0.89,16.19,1948m10
0.91,15.29,1948m11
0.93,15.19,1948m12
0.946667,15.36,1949m1
0.963333,14.77,1949m2
0.98,14.91,1949m3
0.993333,14.89,1949m4
1.00667,14.78,1949m5
1.02,13.97,1949m6
1.02667,14.76,1949m7
1.03333,15.29,1949m8
1.04,15.49,1949m9
1.07333,15.89,1949m10
1.10667,16.11,1949m11
1.14,16.54,1949m12
1.15,16.88,1950m1
1.16,17.21,1950m2
1.17,17.35,1950m3
1.18,17.84,1950m4
1.19,18.44,1950m5
1.2,18.74,1950m6
1.24333,17.38,1950m7
1.28667,18.43,1950m8
1.33,19.08,1950m9
1.37667,19.87,1950m10
1.42333,19.83,1950m11
1.47,19.75,1950m12
1.48667,21.21,1951m1
1.50333,22,1951m2
1.52,21.63,1951m3
1.53333,21.92,1951m4
1.54667,21.93,1951m5
1.56,21.55,1951m6
1.54667,21.93,1951m7
1.53333,22.89,1951m8
1.52,23.48,1951m9
1.48333,23.36,1951m10
1.44667,22.71,1951m11
1.41,23.41,1951m12
1.41333,24.19,1952m1
1.41667,23.75,1952m2
1.42,23.81,1952m3
1.43,23.74,1952m4
1.44,23.73,1952m5
1.45,24.38,1952m6
1.45,25.08,1952m7
1.45,25.18,1952m8
1.45,24.78,1952m9
1.43667,24.26,1952m10
1.42333,25.03,1952m11
1.41,26.04,1952m12
1.41,26.18,1953m1
1.41,25.86,1953m2
1.41,25.99,1953m3
1.41333,24.71,1953m4
1.41667,24.84,1953m5
1.42,23.95,1953m6
1.42,24.29,1953m7
1.42,24.39,1953m8
1.42,23.27,1953m9
1.43,23.97,1953m10
1.44,24.5,1953m11
1.45,24.83,1953m12
1.45667,25.46,1954m1
1.46333,26.02,1954m2
1.47,26.57,1954m3
1.46333,27.63,1954m4
1.45667,28.73,1954m5
1.45,28.96,1954m6
1.45667,30.13,1954m7
1.46333,30.73,1954m8
1.47,31.45,1954m9
1.49333,32.18,1954m10
1.51667,33.44,1954m11
1.54,34.97,1954m12
1.54667,35.6,1955m1
1.55333,36.79,1955m2
1.56,36.5,1955m3
1.56333,37.76,1955m4
1.56667,37.6,1955m5
