"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
 Shyenne Ayeasha Hali'a Aloha Ho'omana.",6,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Andrew Light",14,"Combat Base",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Benjamin Steed",11,"Paragon BJJ Academy",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Cole Ryan",4,"Sunrise BJJ Team",44,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Daniel Visaya",6,"EJD - RGT",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron David Christian Nutsford",4,"Alliance",0,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Devlin",4,"ACTJJ International",6,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Fabricio da Silva",38,"Demian Maia Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Goh Kwan Wei",50,"Alliance International",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Harold Stroman",13,"Renato Tavares Association",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Henry Chaney",36,"Pedro Sauer Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron J Gatuz",46,"Brasa CTA",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Jacob Pagel",54,"CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Joseph DeAngelis",35,"Mountain Tribe Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Joshua Susman",36,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Lee Chatfield",6,"Factory BJJ UK",12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Lee Chatfield",5,"Factory BJJ UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,24,NA,NA,NA,NA,NA,NA
"
Aaron Lee Naisbet",25,"The Dungeon BJJ",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Mathew Carvalho",40,"Chris Atkins Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aaron Mathew Martin",11,"Alliance",0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
