Date,DJX,SPX,HKX,NKX,DAX,UKX
4/1/99,9184.26,1228.1,9809.17,13415.89,5252.36,5879.4
5/1/99,9311.19,1244.78,9891.06,13232.74,5253.91,5958.2
6/1/99,9544.97,1272.34,10233.8,13468.46,5443.62,6148.8
7/1/99,9537.76,1269.73,10693.57,13536.56,5323.21,6101.2
8/1/99,9643.32,1275.09,10722.7,13391.81,5392.84,6147.2
11/1/99,9619.89,1263.88,10634.27,13368.48,5270.6,6085
12/1/99,9474.68,1239.51,10711.56,13360.97,5200.1,6033.6
01/13/99,9349.56,1234.4,10273.77,13403.6,4931.8,5850.1
01/14/99,9120.93,1212.19,10183.13,13738.86,4912.75,5820.2
01/15/99,9340.55,1243.26,10147.4,13738.86,4960.22,5941
01/18/99,9340.55,1243.26,10402.54,13805.06,5050.4,6123.9
01/19/99,9355.22,1252,10290.11,13770.44,5073.15,6027.6
01/20/99,9335.92,1256.62,10314.91,14028.05,5143.06,6105.6
01/21/99,9264.07,1235.16,10048.57,14245.42,5156.67,6022.3
01/22/99,9120.67,1225.19,9738.52,14154.4,5019.28,5861.2
01/25/99,9203.31,1233.98,9499.5,14208.81,4982.45,5880.9
01/26/99,9324.58,1252.31,9509.83,14382.01,4986.8,5885.7
01/27/99,9200.23,1243.17,9719.66,14450.06,5061.18,5876.4
01/28/99,9281.33,1265.37,9360.96,14342.32,5096.41,5872.5
01/29/99,9358.82,1279.64,9506.9,14499.25,5159.96,5896
1/2/99,9345.69,1273,9599.55,14465.18,5190.82,6012.4
2/2/99,9274.12,1261.99,9502.72,14349.83,5166.87,6013
3/2/99,9366.82,1272.07,9419.85,14161.31,5085.66,5940.3
4/2/99,9304.5,1248.49,9438.65,14086.85,5077.85,5939.9
5/2/99,9304.24,1239.4,9190.2,13898.08,5080.77,5855.3
8/2/99,9291.11,1243.77,9139.6,13992.49,5027.22,5834.9
9/2/99,9133.03,1216.14,9244.49,13902.66,4904.35,5779.9
10/2/99,9177.31,1223.55,9076.33,13952.4,4796.82,5770.2
11/2/99,9363.45,1254.04,9146.8,13952.4,4839.33,5888.5
12/2/99,9274.89,1230.13,9425.42,13973.69,4888.74,5950.7
02/15/99,9274.89,1230.13,9402.39,14054.72,4879.55,6023.2
02/16/99,9297.03,1241.87,9402.39,14232.64,4904.68,6108.6
02/17/99,9195.47,1224.03,9402.39,14158.67,4810.09,6078.4
02/18/99,9298.63,1237.28,9402.39,14146.79,4845.08,6074.9
02/19/99,9339.95,1239.22,9254.12,14098.04,4802.38,6031.2
02/22/99,9552.67,1272.14,9229.34,14256.67,4845.18,6069.9
02/23/99,9544.41,1271.18,9433.99,14500.65,4987.56,6155.2
02/24/99,9399.66,1253.41,9677.57,14355.45,5062.31,6307.6
02/25/99,9366.34,1245.02,9658.07,14470.45,4958.58,6206.5
02/26/99,9306.57,1238.33,9858.49,14367.54,4911.81,6175.1
1/3/99,9324.78,1236.16,10020.46,14221.75,4784.31,6060.9
2/3/99,9297.61,1225.5,9913.58,13921.06,4804.02,6061.3
3/3/99,9275.88,1227.7,9922.4,14170.36,4697.67,6048.3
4/3/99,9467.4,1246.64,9912.76,14183.45,4678.72,6101.4
5/3/99,9736.07,1275.47,10241.12,14894,4839.09,6205.5
8/3/99,9727.61,1282.73,10263.99,14779.05,4788.69,6208.8
9/3/99,9693.75,1279.84,10532.95,15096.7,4758.46,6237.7
