"","division","gender","belt","weight","fight","date","competitor","name","gym"
"1","Master 2","Male","BLACK","Middle","FIGHT 19","Thu 09/01 at 12:14 PM","2","Piter Frank Almeida Silva","Alliance "
"2","Master 2","Male","BLACK","Middle","FIGHT 19","Thu 09/01 at 12:14 PM","63","Alan Howcroft","Mario Sukata International"
"3","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:38 PM","7","Diego Martins Lopes","Barbosa Jiu-Jitsu"
"4","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:38 PM","59","Benjamin Salvador Kamalani Sacapanio","Cascao Jiu-Jitsu"
"5","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 02:12 PM","47","Stefan Stoianov","Ralph Gracie Jiu-Jitsu Berkeley"
"6","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 02:12 PM","2","Piter Frank Almeida Silva","Alliance "
"7","Master 2","Male","BLACK","Middle","FIGHT 41","Thu 09/01 at 03:19 PM","7","Diego Martins Lopes","Barbosa Jiu-Jitsu"
"8","Master 2","Male","BLACK","Middle","FIGHT 41","Thu 09/01 at 03:19 PM","2","Piter Frank Almeida Silva","Alliance "
"9","Master 2","Male","BLACK","Middle","FIGHT 33","Thu 09/01 at 02:23 PM","27","Thiago Alves Cavalcante Rodrigues","Team Link Brazilian Jiu-Jitsu"
"10","Master 2","Male","BLACK","Middle","FIGHT 33","Thu 09/01 at 02:23 PM","7","Diego Martins Lopes","Barbosa Jiu-Jitsu"
"11","Master 2","Male","BLACK","Middle","FIGHT 23","Thu 09/01 at 12:54 PM","31","Namrod Bisso","Australian Elite Team"
"12","Master 2","Male","BLACK","Middle","FIGHT 23","Thu 09/01 at 12:54 PM","47","Stefan Stoianov","Ralph Gracie Jiu-Jitsu Berkeley"
"13","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:52 PM","27","Thiago Alves Cavalcante Rodrigues","Team Link Brazilian Jiu-Jitsu"
"14","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:52 PM","43","Vincent Juan Camacho","Atos Jiu-Jitsu"
"15","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:31 PM","55","Diego  Rebelo Castelo Branco","Alliance Jiu-Jitsu"
"16","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:31 PM","2","Piter Frank Almeida Silva","Alliance "
"17","Master 2","Male","BLACK","Middle","FIGHT 38","Thu 09/01 at 02:55 PM","12","Nicholas Evan Walters","Luiz Palhares Jiu-Jitsu"
"18","Master 2","Male","BLACK","Middle","FIGHT 38","Thu 09/01 at 02:55 PM","7","Diego Martins Lopes","Barbosa Jiu-Jitsu"
"19","Master 2","Male","BLACK","Middle","FIGHT 20","Thu 09/01 at 01:01 PM","16","Marques Lee Williams","Brasa CTA"
"20","Master 2","Male","BLACK","Middle","FIGHT 20","Thu 09/01 at 01:01 PM","55","Diego  Rebelo Castelo Branco","Alliance Jiu-Jitsu"
"21","Master 2","Male","BLACK","Middle","FIGHT 28","Thu 09/01 at 01:45 PM","12","Nicholas Evan Walters","Luiz Palhares Jiu-Jitsu"
